Route,URL,Avg Stars,Rating,Pitches,Length,Area Latitude,Area Longitude,PG13,R,State,Region,Location,Crag,Wall,Trad,Alpine,TR,Aid,Boulder,Mixed,numVotes,numViews,Year
Pop Quiz,https://www.mountainproject.com/route/113260490/pop-quiz,2.2,5.11a,1,50.0,40.63012,-111.74032,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Gully of Higher Education Area,False,False,False,False,False,False,"Avg: 2.3 from 24
    votes","Page Views: 1,240 total · 16/month","Shared By: John Steiger on Jul 4, 2017"
Let It Go,https://www.mountainproject.com/route/113316392/let-it-go,2.2,5.11b/c,1,55.0,40.63015,-111.73996,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Gully of Higher Education Area,False,False,False,False,False,False,"Avg: 2.2 from 5
    votes",Page Views: 791 total · 10/month,"Shared By: John Steiger on Jul 12, 2017 · Updates"
The Emperor's March,https://www.mountainproject.com/route/109471709/the-emperors-march,2.2,5.11-,1,70.0,40.63608,-111.7316,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,The Penguin,False,False,False,False,False,False,"Avg: 2.2 from 5
    votes",Page Views: 823 total · 7/month,"Shared By: GRK on Sep 14, 2014"
Far Left Unknown,https://www.mountainproject.com/route/107272735/far-left-unknown,2.3,5.11a,1,45.0,40.62356,-111.76076,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,The Wave Wall,False,False,False,False,False,False,"Avg: 2.3 from 4
    votes","Page Views: 1,081 total · 7/month","Shared By: John Steiger on Sep 4, 2011"
Unknown Dihedral,https://www.mountainproject.com/route/121462879/unknown-dihedral,2.0,5.11a/b,1,45.0,40.62356,-111.76076,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,The Wave Wall,False,False,True,False,False,False,"Avg: 2 from 1
    vote",Page Views: 230 total · 9/month,"Shared By: Hansen Wendlandt on Oct 13, 2021"
Arete Route,https://www.mountainproject.com/route/105740870/arete-route,2.3,5.11b,1,50.0,40.62356,-111.76076,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,The Wave Wall,False,False,True,False,False,False,"Avg: 2.3 from 4
    votes","Page Views: 1,373 total · 6/month","Shared By: Nathan Fisher on Jun 27, 2004"
Strong Arm With the Lads,https://www.mountainproject.com/route/105741293/strong-arm-with-the-lads,2.8,5.11a,1,60.0,40.62738,-111.71719,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,The Millstone,False,False,False,False,False,False,"Avg: 2.9 from 41
    votes","Page Views: 2,365 total · 10/month","Shared By: Spencer Anderson on Oct 13, 2004"
Earthling,https://www.mountainproject.com/route/106386599/earthling,2.5,5.11a,1,70.0,40.62738,-111.71719,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,The Millstone,False,False,False,False,False,False,"Avg: 2.5 from 21
    votes","Page Views: 1,507 total · 8/month","Shared By: GRK on Mar 24, 2009"
Stick Figure Stays Home,https://www.mountainproject.com/route/107580122/stick-figure-stays-home,2.6,5.11a,1,35.0,40.62738,-111.71719,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,The Millstone,False,False,False,False,False,False,"Avg: 2.6 from 12
    votes","Page Views: 1,175 total · 8/month","Shared By: GRK on Apr 26, 2012"
Against the Establishment,https://www.mountainproject.com/route/107214511/against-the-establishment,1.6,5.11b,1,60.0,40.62738,-111.71719,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,The Millstone,False,False,False,False,False,False,"Avg: 1.6 from 5
    votes",Page Views: 581 total · 4/month,"Shared By: Tryhard Scoville on Jul 16, 2011"
The Odd Get Even,https://www.mountainproject.com/route/107258732/the-odd-get-even,2.8,5.11b,1,60.0,40.62738,-111.71719,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,The Millstone,False,False,False,False,False,False,"Avg: 2.8 from 18
    votes","Page Views: 1,253 total · 8/month","Shared By: John Steiger on Aug 23, 2011"
Stone Ground,https://www.mountainproject.com/route/105741281/stone-ground,3.5,5.11b,1,60.0,40.62738,-111.71719,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,The Millstone,False,False,False,False,False,False,"Avg: 3.5 from 50
    votes","Page Views: 4,212 total · 18/month","Shared By: Spencer Anderson on Oct 13, 2004"
Lead Balloon,https://www.mountainproject.com/route/106448163/lead-balloon,2.5,5.11b,1,50.0,40.62738,-111.71719,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,The Millstone,False,False,False,False,False,False,"Avg: 2.5 from 15
    votes","Page Views: 1,286 total · 7/month","Shared By: Nicholas Yaskoff on Jun 1, 2009"
The Greater Wrong Of The Right,https://www.mountainproject.com/route/109471716/the-greater-wrong-of-the-right,2.8,5.11b,1,65.0,40.63617,-111.73166,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Tear Garden,False,False,False,False,False,False,"Avg: 2.8 from 4
    votes",Page Views: 669 total · 6/month,"Shared By: GRK on Sep 14, 2014"
Squeeze the Cheese,https://www.mountainproject.com/route/107156012/squeeze-the-cheese,2.0,5.11b,1,30.0,40.6193,-111.789,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Rolling Stone Area,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 564 total · 4/month,"Shared By: zoso on May 30, 2011"
Damned if You Do,https://www.mountainproject.com/route/107152161/damned-if-you-do,1.4,5.11b,1,120.0,40.62653,-111.74418,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Storm Mountain Picnic Area,False,False,False,False,False,False,"Avg: 1.4 from 9
    votes","Page Views: 1,275 total · 8/month","Shared By: John Steiger on May 27, 2011 · Updates"
Aqua Velvet,https://www.mountainproject.com/route/107647944/aqua-velvet,2.1,5.11a,1,100.0,40.6215,-111.7768,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Aguaworld,False,False,False,False,False,False,"Avg: 2.1 from 18
    votes","Page Views: 1,404 total · 10/month","Shared By: John Steiger on Jun 8, 2012"
Whiskey  Shot,https://www.mountainproject.com/route/106021864/whiskey-shot,2.4,5.11a,1,40.0,40.6152,-111.78,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Powder Ridge Wall,False,False,False,False,False,False,"Avg: 2.4 from 15
    votes",Page Views: 850 total · 4/month,"Shared By: Greg Martinez on Sep 6, 2007"
Defiance,https://www.mountainproject.com/route/106024466/defiance,2.4,5.11a,1,45.0,40.6152,-111.78,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Powder Ridge Wall,False,False,False,False,False,False,"Avg: 2.4 from 16
    votes",Page Views: 966 total · 5/month,"Shared By: Greg Martinez on Sep 11, 2007 · Updates"
"Berry, Berry Steep",https://www.mountainproject.com/route/105952346/berry-berry-steep,2.8,5.11a/b,1,65.0,40.6152,-111.78,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Powder Ridge Wall,False,False,True,False,False,False,"Avg: 2.8 from 32
    votes","Page Views: 2,230 total · 11/month","Shared By: Ryan Brough on Apr 25, 2007"
Reasoning With The Unreasonable,https://www.mountainproject.com/route/106062175/reasoning-with-the-unreasonable,3.3,5.11a,1,120.0,40.65369,-111.6527,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Red Rock Wall,False,False,False,False,False,False,"Avg: 3.3 from 33
    votes","Page Views: 6,494 total · 33/month","Shared By: Luke Douglas on Nov 14, 2007 · Updates"
Misery,https://www.mountainproject.com/route/106229170/misery,3.0,5.11b,1,50.0,40.63193,-111.72605,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Broads Fork,False,False,False,False,False,False,"Avg: 3 from 53
    votes","Page Views: 1,221 total · 7/month","Shared By: Hayden Eatchel on Aug 13, 2008"
Garden Party,https://www.mountainproject.com/route/111064455/garden-party,2.6,5.11b,1,90.0,40.6341,-111.73328,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Choss Garden,False,False,False,False,False,False,"Avg: 2.6 from 27
    votes","Page Views: 1,386 total · 14/month","Shared By: skiandclimb on Sep 23, 2015"
Treadmill,https://www.mountainproject.com/route/107203612/treadmill,2.6,5.11a,1,75.0,40.626,-111.71673,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Treadmill Wall,False,False,False,False,False,False,"Avg: 2.6 from 9
    votes",Page Views: 626 total · 4/month,"Shared By: Tim Wolfe on Jul 7, 2011"
JVS,https://www.mountainproject.com/route/107203592/jvs,3.0,5.11b,1,75.0,40.626,-111.71673,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Treadmill Wall,False,False,False,False,False,False,"Avg: 3 from 8
    votes",Page Views: 626 total · 4/month,"Shared By: Tim Wolfe on Jul 7, 2011"
2112,https://www.mountainproject.com/route/107669298/2112,2.0,5.11a,1,45.0,40.62077,-111.74602,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Rush Wall,False,False,False,False,False,False,"Avg: 2 from 6
    votes",Page Views: 606 total · 4/month,"Shared By: John Steiger on Jun 22, 2012"
Unknown,https://www.mountainproject.com/route/113621638/unknown,2.1,5.11-,1,,40.63494,-111.72419,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Curves,False,False,False,False,False,False,"Avg: 2.1 from 24
    votes",Page Views: 929 total · 13/month,"Shared By: Sean H on Sep 23, 2017 · Updates"
Skid Row Variation,https://www.mountainproject.com/route/105740336/skid-row-variation,2.1,5.11a,1,30.0,40.63387,-111.72201,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Curves,False,False,True,False,False,False,"Avg: 2.1 from 70
    votes","Page Views: 1,070 total · 4/month","Shared By: Nathan Fisher on Dec 31, 2002"
Black Monday,https://www.mountainproject.com/route/105740930/black-monday,3.3,5.11a,1,70.0,40.63387,-111.72201,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Curves,False,False,False,False,False,False,"Avg: 3.3 from 376
    votes","Page Views: 28,268 total · 120/month","Shared By: Mark Michaels on Jul 16, 2004 · Updates"
Ionic Bonding,https://www.mountainproject.com/route/105741050/ionic-bonding,2.3,5.11a,2,120.0,40.63387,-111.72201,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Curves,False,False,False,False,False,False,"Avg: 2.3 from 60
    votes","Page Views: 4,083 total · 17/month","Shared By: Peter Gram on Aug 6, 2004"
Times Square,https://www.mountainproject.com/route/105741074/times-square,2.6,5.11a,1,70.0,40.63387,-111.72201,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Curves,False,False,False,False,False,False,"Avg: 2.6 from 80
    votes","Page Views: 3,214 total · 14/month","Shared By: Anonymous Coward on Dec 31, 2004"
Megalopolis,https://www.mountainproject.com/route/105818904/megalopolis,2.8,5.11a,1,60.0,40.63471,-111.72262,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Curves,False,False,False,False,False,False,"Avg: 2.8 from 41
    votes","Page Views: 2,676 total · 13/month","Shared By: Nathan Fisher on Apr 25, 2006"
Give the Dog a Bone,https://www.mountainproject.com/route/106566790/give-the-dog-a-bone,2.4,5.11a,1,60.0,40.63471,-111.72262,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Curves,False,False,False,False,False,False,"Avg: 2.4 from 17
    votes","Page Views: 1,838 total · 11/month","Shared By: GRK on Oct 10, 2009"
Get a Life,https://www.mountainproject.com/route/107699131/get-a-life,2.6,5.11a,1,40.0,40.63471,-111.72262,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Curves,False,False,False,False,False,False,"Avg: 2.6 from 10
    votes",Page Views: 859 total · 6/month,"Shared By: Brent Huff on Jul 11, 2012"
Get a Grip,https://www.mountainproject.com/route/107699143/get-a-grip,2.2,5.11-,1,40.0,40.63471,-111.72262,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Curves,False,False,False,False,False,False,"Avg: 2.2 from 18
    votes",Page Views: 742 total · 5/month,"Shared By: Brent Huff on Jul 11, 2012"
High Dive,https://www.mountainproject.com/route/106271512/high-dive,2.5,5.11b,1,40.0,40.63471,-111.72262,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Curves,False,False,False,False,False,False,"Avg: 2.5 from 32
    votes","Page Views: 2,089 total · 11/month","Shared By: Shaun Greene on Oct 7, 2008"
Stairmaster,https://www.mountainproject.com/route/112877578/stairmaster,2.5,5.11b,1,50.0,40.61951,-111.7424,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,s Ridge,False,False,True,False,False,False,"Avg: 2.5 from 4
    votes","Page Views: 1,187 total · 15/month","Shared By: Brent Barghahn on May 5, 2017"
The Briar Patch,https://www.mountainproject.com/route/124051238/the-briar-patch,1.0,5.11a/b ,1,70.0,40.62706,-111.76495,False,True,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Granite Flume,False,False,False,False,False,False,"Avg: 1 from 1
    vote",Page Views: 45 total · 7/month,"Shared By: Glen Kaplan on Apr 18, 2023"
Trolls at the Gate,https://www.mountainproject.com/route/121173108/trolls-at-the-gate,2.8,5.11-,2,140.0,40.6181,-111.74409,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Hidden Fortress,False,False,False,False,False,False,"Avg: 2.8 from 4
    votes",Page Views: 376 total · 14/month,"Shared By: John Steiger on Aug 18, 2021"
Hidden Fortress,https://www.mountainproject.com/route/121169796/hidden-fortress,3.6,5.11,1,90.0,40.6181,-111.74409,False,False,Utah,Wasatch Range,Central Wasatch,Big Cottonwood Canyon,Hidden Fortress,False,False,False,False,False,False,"Avg: 3.6 from 5
    votes",Page Views: 495 total · 18/month,"Shared By: John Steiger on Aug 17, 2021"
The Dirge,https://www.mountainproject.com/route/105741755/the-dirge,2.6,5.11a,1,30.0,40.61349,-111.77922,False,False,Utah,Wasatch Range,Central Wasatch,Ferguson Canyon,The Watchtower,False,False,False,False,False,False,"Avg: 2.6 from 38
    votes","Page Views: 2,899 total · 13/month","Shared By: Ken Cangi on Aug 7, 2005"
The Revelation,https://www.mountainproject.com/route/106492249/the-revelation,3.2,5.11b/c ,1,40.0,40.61349,-111.77922,True,False,Utah,Wasatch Range,Central Wasatch,Ferguson Canyon,The Watchtower,False,False,False,False,False,False,"Avg: 3.2 from 6
    votes","Page Views: 1,092 total · 6/month","Shared By: Ben Folsom on Jul 18, 2009"
Oxymoron,https://www.mountainproject.com/route/106021726/oxymoron,2.5,5.11b,1,45.0,40.61332,-111.77928,False,False,Utah,Wasatch Range,Central Wasatch,Ferguson Canyon,The Watchtower,False,False,False,False,False,False,"Avg: 2.5 from 12
    votes",Page Views: 733 total · 4/month,"Shared By: Greg Martinez on Sep 6, 2007"
The Cerebral Scrub,https://www.mountainproject.com/route/108171836/the-cerebral-scrub,1.3,5.11a,1,60.0,40.61312,-111.7789,False,False,Utah,Wasatch Range,Central Wasatch,Ferguson Canyon,The Watchtower,False,False,False,False,False,False,"Avg: 1.3 from 19
    votes",Page Views: 831 total · 7/month,"Shared By: Kip H on Jun 1, 2013"
Grommet,https://www.mountainproject.com/route/106251192/grommet,2.2,5.11-,1,50.0,40.61312,-111.7789,False,False,Utah,Wasatch Range,Central Wasatch,Ferguson Canyon,The Watchtower,False,False,False,False,False,False,"Avg: 2.2 from 86
    votes","Page Views: 1,762 total · 10/month","Shared By: drewford on Sep 10, 2008"
Dehumanized,https://www.mountainproject.com/route/106021682/dehumanized,3.0,5.11a/b,1,75.0,40.61312,-111.7789,False,False,Utah,Wasatch Range,Central Wasatch,Ferguson Canyon,The Watchtower,True,False,False,False,False,False,"Avg: 3 from 45
    votes","Page Views: 4,283 total · 22/month","Shared By: Greg Martinez on Sep 6, 2007"
Drunk Punk Oi,https://www.mountainproject.com/route/106007041/drunk-punk-oi,3.1,5.11b/c,1,90.0,40.61312,-111.7789,False,False,Utah,Wasatch Range,Central Wasatch,Ferguson Canyon,The Watchtower,False,False,False,False,False,False,"Avg: 3.1 from 64
    votes","Page Views: 4,268 total · 22/month","Shared By: Glen Kaplan on Aug 12, 2007"
Golden Oldie,https://www.mountainproject.com/route/106538861/golden-oldie,2.7,5.11,1,30.0,40.61312,-111.77794,False,False,Utah,Wasatch Range,Central Wasatch,Ferguson Canyon,Goldenfingers Wall,False,False,False,False,False,False,"Avg: 2.7 from 12
    votes","Page Views: 1,480 total · 9/month","Shared By: GRK on Sep 7, 2009"
Two-Bit Grit,https://www.mountainproject.com/route/106425138/two-bit-grit,2.0,5.11b/c,1,35.0,40.61354,-111.77799,False,False,Utah,Wasatch Range,Central Wasatch,Ferguson Canyon,Diminutive Wall,True,False,False,False,False,False,"Avg: 2 from 2
    votes",Page Views: 693 total · 4/month,"Shared By: GRK on May 6, 2009"
Skinny Len Crimps,https://www.mountainproject.com/route/106014058/skinny-len-crimps,2.6,5.11a,1,70.0,40.61349,-111.77875,False,False,Utah,Wasatch Range,Central Wasatch,Ferguson Canyon,The Cathedral,False,False,False,False,False,False,"Avg: 2.6 from 99
    votes","Page Views: 4,567 total · 23/month","Shared By: Dave Budge on Aug 23, 2007"
John Doe 3,https://www.mountainproject.com/route/106437036/john-doe-3,1.6,5.11b,1,25.0,40.61349,-111.77875,False,False,Utah,Wasatch Range,Central Wasatch,Ferguson Canyon,The Cathedral,True,False,False,False,False,False,"Avg: 1.6 from 5
    votes",Page Views: 719 total · 4/month,"Shared By: GRK on May 20, 2009"
Son of Scab (aka Fake Son of Slab),https://www.mountainproject.com/route/118849413/son-of-scab-aka-fake-son-of-slab,2.5,5.11b,1,60.0,40.61349,-111.77875,False,False,Utah,Wasatch Range,Central Wasatch,Ferguson Canyon,The Cathedral,False,False,False,False,False,False,"Avg: 2.5 from 11
    votes",Page Views: 623 total · 15/month,"Shared By: Ryan Arnold on May 9, 2020"
DonoMight!,https://www.mountainproject.com/route/108200403/donomight,3.0,5.11a/b,1,50.0,40.60989,-111.79925,False,False,Utah,Wasatch Range,Central Wasatch,Ferguson Canyon,Eldorado,False,False,False,False,False,False,"Avg: 3 from 1
    vote","Page Views: 1,122 total · 9/month","Shared By: Donovan Allen on Jun 18, 2013"
"Where There's a Drill, There's a Way",https://www.mountainproject.com/route/105821912/where-theres-a-drill-theres-a-way,1.7,5.11a,1,50.0,40.71056,-111.79218,False,False,Utah,Wasatch Range,Central Wasatch,s Canyon,,False,False,False,False,False,False,"Avg: 1.7 from 9
    votes","Page Views: 1,208 total · 6/month","Shared By: Nathan Fisher on May 6, 2006"
Crosscurrent,https://www.mountainproject.com/route/105740900/crosscurrent,2.5,5.11b,1,80.0,40.71056,-111.79218,False,False,Utah,Wasatch Range,Central Wasatch,s Canyon,,False,False,True,False,False,False,"Avg: 2.5 from 24
    votes","Page Views: 1,825 total · 7/month","Shared By: Vince Romney on May 31, 2003"
Diamond Dave,https://www.mountainproject.com/route/122062729/diamond-dave,3.8,5.11b ,1,60.0,40.65299,-111.806,True,False,Utah,Wasatch Range,Central Wasatch,Mount Olympus,s Rock Area,False,False,False,False,False,False,"Avg: 3.8 from 5
    votes",Page Views: 399 total · 20/month,"Shared By: Aidan Francis on Mar 11, 2022"
Feature Attraction,https://www.mountainproject.com/route/106513783/feature-attraction,2.2,5.11a,1,60.0,40.66905,-111.76072,False,False,Utah,Wasatch Range,Central Wasatch,s Canyon,,False,False,False,False,False,False,"Avg: 2.2 from 26
    votes","Page Views: 2,159 total · 12/month","Shared By: Alec L on Aug 10, 2009"
Point Man,https://www.mountainproject.com/route/108223888/point-man,1.5,5.11b,1,60.0,40.66905,-111.76072,False,False,Utah,Wasatch Range,Central Wasatch,s Canyon,,False,False,False,False,False,False,"Avg: 1.5 from 8
    votes",Page Views: 668 total · 5/month,"Shared By: Greg Gavin on Jul 2, 2013"
Electric Jellyfish,https://www.mountainproject.com/route/111612689/electric-jellyfish,3.3,5.11b,1,45.0,40.7033,-111.787,False,False,Utah,Wasatch Range,Central Wasatch,Grandeur Peak,Reef,False,False,False,False,False,False,"Avg: 3.3 from 4
    votes","Page Views: 1,283 total · 14/month","Shared By: steve edwards on Feb 10, 2016"
Unknown C,https://www.mountainproject.com/route/124275329/unknown-c,2.0,5.11b ,1,55.0,40.7033,-111.787,False,True,Utah,Wasatch Range,Central Wasatch,Grandeur Peak,Reef,False,False,True,False,False,False,"Avg: 2 from 1
    vote",Page Views: 47 total · 9/month,"Shared By: Hansen Wendlandt on May 26, 2023 · Updates"
Unknown B,https://www.mountainproject.com/route/124275374/unknown-b,4.0,5.11b,1,55.0,40.7033,-111.787,False,False,Utah,Wasatch Range,Central Wasatch,Grandeur Peak,Reef,False,False,True,False,False,False,"Avg: 4 from 1
    vote",Page Views: 51 total · 10/month,"Shared By: Hansen Wendlandt on May 26, 2023 · Updates"
Bastard Sword,https://www.mountainproject.com/route/113048398/bastard-sword,3.0,5.11b/c,1,50.0,40.70386,-111.78168,False,False,Utah,Wasatch Range,Central Wasatch,Grandeur Peak,Dragon Tail Ridge,False,False,False,False,False,False,"Avg: 3 from 1
    vote",Page Views: 785 total · 10/month,"Shared By: davidbrandonkamp on May 31, 2017"
Fist Full of Crystals,https://www.mountainproject.com/route/111612404/fist-full-of-crystals,1.5,5.11a,1,50.0,40.7047,-111.7438,False,False,Utah,Wasatch Range,Central Wasatch,Millcreek Canyon,Church Fork Wall,False,False,False,False,False,False,"Avg: 1.5 from 2
    votes",Page Views: 773 total · 8/month,"Shared By: steve edwards on Feb 10, 2016"
Zzzzzzzz,https://www.mountainproject.com/route/111604632/zzzzzzzz,2.0,5.11a,1,30.0,40.6934,-111.75798,False,False,Utah,Wasatch Range,Central Wasatch,Millcreek Canyon,The Stitches Wall,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 694 total · 7/month,"Shared By: steve edwards on Feb 6, 2016"
Sting,https://www.mountainproject.com/route/111604606/sting,2.0,5.11-,1,35.0,40.6934,-111.75798,False,False,Utah,Wasatch Range,Central Wasatch,Millcreek Canyon,The Stitches Wall,False,False,False,False,False,False,"Avg: 2 from 2
    votes",Page Views: 580 total · 6/month,"Shared By: steve edwards on Feb 6, 2016"
Backside Traverse,https://www.mountainproject.com/route/111604622/backside-traverse,1.0,5.11,1,40.0,40.6934,-111.75798,False,False,Utah,Wasatch Range,Central Wasatch,Millcreek Canyon,The Stitches Wall,False,False,False,False,False,False,"Avg: 1 from 1
    vote",Page Views: 569 total · 6/month,"Shared By: steve edwards on Feb 6, 2016"
Thre The Hard Way,https://www.mountainproject.com/route/111604669/thre-the-hard-way,1.0,5.11,1,20.0,40.6934,-111.75798,False,False,Utah,Wasatch Range,Central Wasatch,Millcreek Canyon,The Stitches Wall,False,False,False,False,False,False,"Avg: 1 from 1
    vote",Page Views: 584 total · 6/month,"Shared By: steve edwards on Feb 6, 2016 · Updates"
Too Jug to Fail,https://www.mountainproject.com/route/111966559/too-jug-to-fail,2.7,5.11a,1,40.0,40.69257,-111.763,False,False,Utah,Wasatch Range,Central Wasatch,Millcreek Canyon,Jug Haul Wall,False,False,False,False,False,False,"Avg: 2.7 from 7
    votes","Page Views: 1,425 total · 16/month","Shared By: bus driver on Jul 1, 2016"
Dark Victory,https://www.mountainproject.com/route/105855653/dark-victory,1.0,5.11a,1,30.0,40.79668,-111.74287,False,False,Utah,Wasatch Range,Central Wasatch,Emigration Canyon,Freeze Creek,False,False,False,False,False,False,"Avg: 1 from 1
    vote",Page Views: 587 total · 3/month,"Shared By: James Garrett on Sep 4, 2006"
Lord Mandrake,https://www.mountainproject.com/route/111602803/lord-mandrake,2.0,5.11-,1,40.0,40.79668,-111.74287,False,False,Utah,Wasatch Range,Central Wasatch,Emigration Canyon,Freeze Creek,False,False,False,False,False,False,"Avg: 2 from 1
    vote",Page Views: 684 total · 7/month,"Shared By: steve edwards on Feb 5, 2016"
Bat Crack,https://www.mountainproject.com/route/107590611/bat-crack,1.0,5.11,1,35.0,40.8015,-111.8733,False,False,Utah,Wasatch Range,Central Wasatch,City Creek Canyon,Shoreline Crag,False,False,False,False,False,False,"Avg: 1 from 3
    votes",Page Views: 867 total · 6/month,"Shared By: Alex Quitiquit on May 3, 2012"
Black Tuesday,https://www.mountainproject.com/route/107299599/black-tuesday,1.5,5.11a,1,,40.80543,-111.86873,False,False,Utah,Wasatch Range,Central Wasatch,City Creek Canyon,The RattleHorn,False,False,False,False,False,False,"Avg: 1.5 from 2
    votes","Page Views: 2,131 total · 14/month","Shared By: bus driver on Sep 24, 2011"
Iatrogenic Pain,https://www.mountainproject.com/route/105742031/iatrogenic-pain,1.7,5.11a,1,,40.48757,-111.85656,False,False,Utah,Wasatch Range,Central Wasatch,Draper Area Crags,Red Rock,False,False,True,False,False,False,"Avg: 1.7 from 41
    votes","Page Views: 3,311 total · 15/month","Shared By: Jake Richens on Sep 29, 2005 · Updates"
Carpal Tunnel Syndrome,https://www.mountainproject.com/route/106298564/carpal-tunnel-syndrome,3.1,5.11a,1,40.0,41.2375,-111.91749,False,False,Utah,Wasatch Range,Northern Wasatch,Ogden,Ogden Canyon,False,False,False,False,False,False,"Avg: 3.1 from 16
    votes","Page Views: 1,588 total · 9/month","Shared By: Oliver Young on Nov 9, 2008"
Two Man Tent Fever,https://www.mountainproject.com/route/107629919/two-man-tent-fever,2.1,5.11a,1,40.0,41.2375,-111.91749,False,False,Utah,Wasatch Range,Northern Wasatch,Ogden,Ogden Canyon,False,False,False,False,False,False,"Avg: 2.1 from 15
    votes",Page Views: 830 total · 6/month,"Shared By: Phil Burnett on May 29, 2012"
Decepticon,https://www.mountainproject.com/route/107629899/decepticon,2.6,5.11b,1,40.0,41.2375,-111.91749,False,False,Utah,Wasatch Range,Northern Wasatch,Ogden,Ogden Canyon,False,False,False,False,False,False,"Avg: 2.6 from 17
    votes",Page Views: 904 total · 7/month,"Shared By: Phil Burnett on May 29, 2012"
911,https://www.mountainproject.com/route/106203249/911,2.6,5.11a,1,50.0,41.2368,-111.929,False,False,Utah,Wasatch Range,Northern Wasatch,Ogden,Ogden Canyon,False,False,False,False,False,False,"Avg: 2.6 from 5
    votes",Page Views: 583 total · 3/month,"Shared By: Dave Clawson on Jul 12, 2008"
Steamer,https://www.mountainproject.com/route/118812658/steamer,2.0,5.11b,1,55.0,41.24689,-111.88375,False,False,Utah,Wasatch Range,Northern Wasatch,Ogden,Ogden Canyon,False,False,False,False,False,False,"Avg: 2 from 2
    votes",Page Views: 364 total · 9/month,"Shared By: Cameron Berghout on Apr 30, 2020"
Teardrops on the City,https://www.mountainproject.com/route/106275046/teardrops-on-the-city,3.3,5.11b,1,70.0,41.2226,-111.92461,False,False,Utah,Wasatch Range,Northern Wasatch,Ogden,The Schoolroom,False,False,False,False,False,False,"Avg: 3.3 from 31
    votes","Page Views: 3,652 total · 20/month","Shared By: Mike Anderson on Oct 11, 2008"
Giants of Science,https://www.mountainproject.com/route/106307059/giants-of-science,3.1,5.11b,1,50.0,41.2226,-111.92461,False,False,Utah,Wasatch Range,Northern Wasatch,Ogden,The Schoolroom,False,False,False,False,False,False,"Avg: 3.1 from 14
    votes",Page Views: 962 total · 5/month,"Shared By: Riddler on Nov 20, 2008 · Updates"
Lucky Town,https://www.mountainproject.com/route/107214520/lucky-town,2.6,5.11b,1,50.0,41.2226,-111.92461,False,False,Utah,Wasatch Range,Northern Wasatch,Ogden,The Schoolroom,False,False,False,False,False,False,"Avg: 2.6 from 5
    votes",Page Views: 613 total · 4/month,"Shared By: Colby Wayment on Jul 16, 2011"
